Transportadora,Localidade,Sigla do Ponto,Ponto Zona (sigla),Fluxo,Município,UF,Vazão Mensurável Mínima (Mm³/d),Vazão Mensurável Máxima (Mm³/d),Pressão de Recebimento Mínima (Kgf/cm2),Pressão de Recebimento Máxima (Kgf/cm2),Capacidade Técnica do Ponto (Mil m³/dia),Capacidade Comercial da Zona (Mil m³/dia),Capacidade Disponível da Zona (Mil m³/dia),Capacidade Contratada da Zona (Mil m³/dia),Tarifa Referência (R$/MMBtu)
TAG,Linhares,Linhares,ES1,Saída,Linhares,ES,10.0,48.0,50.0,100.0,48.0,-1481.0,-2516.91,1035.91,3.901999
TAG,Macaíba,Macaíba,RN1,Saída,Macaíba,RN,150.0,1010.0,35.0,44.0,1010.0,92.7,-78.8,171.5,4.27274
TAG,Mamanguape,Mamanguape,PB,Saída,Mamanguape,PB,2.5,25.0,34.0,36.0,25.0,52.8,-52.2,105.0,4.136452
TAG,Manacapuru,Manacapuru,AM,Saída,Manacapuru,AM,17.5,175.0,34.0,50.0,175.0,0.0,0.0,0.0,
TAG,Manguinhos,Manguinhos,SE,Saída,Nossa Senhora do Socorro,SE,15.0,100.0,24.0,27.5,100.0,5697.0,4248.0,1449.0,3.904875
TAG,Mauá (PIEs),Mauá PIEs,AM,Saída,Manaus,AM,65.0,1075.0,16.0,23.0,1075.0,0.0,0.0,0.0,
TAG,Mossoró,Mossoró,RN3,Saída,Mossoró,RN,10.0,300.0,34.5,41.0,300.0,136.0,110.5,25.5,4.27274
TAG,Mucuri,Mucuri,BA1,Saída,Mucuri,BA,50.0,500.0,33.0,44.0,500.0,-1639.0,-1922.0,283.0,3.832738
TAG,PE Marechal Deodoro,Marechal D,AL,Saída,Pilar,AL,100.0,2600.0,66.0,100.0,2600.0,0.0,-86.01,86.01,3.974485
TAG,PE TECAB,PE TECAB,RJ,Saída,Macaé,RJ,3000.0,20000.0,60.0,100.0,20000.0,0.0,-351.0,351.0,2.7438
TAG,Pacajus,Pacajus,CE1,Saída,Horizonte,CE,75.0,225.0,10.0,13.0,225.0,21.9,-466.6,488.5,4.381511
TAG,Paulista,Paulista,PE2,Saída,Abreu e Lima,PE,42.0,202.0,25.0,30.0,202.0,20.3,-829.7,850.0,4.076333
TAG,Pecém,Pecém,CE2,Saída,São Gonçalo do Amarante,CE,9.0,90.0,14.0,19.0,90.0,-3125.5,-3175.5,50.0,4.381511
TAG,Pedras de Fogo,PedrasFogo,PB,Saída,Pedras de Fogo,PB,120.0,264.0,31.5,35.0,264.0,52.8,-52.2,105.0,4.136452
TAG,Penedo,Penedo,AL,Saída,Penedo,AL,5.0,50.0,34.0,45.0,50.0,0.0,-86.01,86.01,3.974485
TAG,REMAN,REMAN,AM,Saída,Manaus,AM,25.0,400.0,40.0,50.0,400.0,0.0,0.0,0.0,
